antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'domestic eggs'}),frozenset({'white bread'}),0.037091492347791216,0.023992514870012697,0.0010024727661565194,0.02702702702702703,1.126477452382745,0.00011255458445117654,1.0031188041613757
frozenset({'white bread'}),frozenset({'domestic eggs'}),0.023992514870012697,0.037091492347791216,0.0010024727661565194,0.04178272980501393,1.126477452382745,0.00011255458445117654,1.0048957972300667
frozenset({'sausage'}),frozenset({'misc. beverages'}),0.06034886052262247,0.01577223818752924,0.0010693042839002875,0.017718715393134,1.1234116035062036,0.00011746768139150562,1.0019815884066077
frozenset({'misc. beverages'}),frozenset({'sausage'}),0.01577223818752924,0.06034886052262247,0.0010693042839002875,0.06779661016949153,1.1234116035062034,0.00011746768139150562,1.0079894041666415
frozenset({'cream cheese '}),frozenset({'frankfurter'}),0.023658357281293858,0.037759807525228894,0.0010024727661565194,0.04237288135593221,1.1221688915554224,0.00010913774885176579,1.0048171921417963
frozenset({'frankfurter'}),frozenset({'cream cheese '}),0.037759807525228894,0.023658357281293858,0.0010024727661565194,0.026548672566371685,1.1221688915554224,0.00010913774885176579,1.00296914206558
frozenset({'margarine'}),frozenset({'pork'}),0.03221279155249616,0.037091492347791216,0.0013366303548753592,0.04149377593360996,1.1186871518821726,0.0001418098435049546,1.0045928586328239
frozenset({'pork'}),frozenset({'margarine'}),0.037091492347791216,0.03221279155249616,0.0013366303548753592,0.036036036036036036,1.1186871518821726,0.0001418098435049546,1.0039661695109618
frozenset({'margarine'}),frozenset({'chicken'}),0.03221279155249616,0.027868742899151238,0.0010024727661565194,0.03112033195020747,1.1166751246305862,0.00010474276031605318,1.0033560298128674
frozenset({'chicken'}),frozenset({'margarine'}),0.027868742899151238,0.03221279155249616,0.0010024727661565194,0.03597122302158274,1.1166751246305862,0.00010474276031605318,1.0038986714492764
frozenset({'frankfurter'}),frozenset({'other vegetables'}),0.037759807525228894,0.12210118291786407,0.005146026866270133,0.13628318584070798,1.1161495948191098,0.0005355097006888195,1.0164197369905876
frozenset({'other vegetables'}),frozenset({'frankfurter'}),0.12210118291786407,0.037759807525228894,0.005146026866270133,0.042145593869731796,1.1161495948191096,0.0005355097006888195,1.0045787609436612
frozenset({'whole milk'}),frozenset({'semi-finished bread'}),0.15792287642852368,0.009490075519615051,0.001670787943594199,0.0105797714769361,1.1148247930239075,0.0001720879200126737,1.00110134796713
frozenset({'semi-finished bread'}),frozenset({'whole milk'}),0.009490075519615051,0.15792287642852368,0.001670787943594199,0.176056338028169,1.1148247930239072,0.0001720879200126737,1.0220081328816208
"frozenset({'rolls/buns', 'whole milk'})",frozenset({'yogurt'}),0.013967787208447505,0.08587850030074183,0.0013366303548753592,0.09569377990430622,1.1142926293448514,0.00013709773689400228,1.0108539335298676
frozenset({'yogurt'}),"frozenset({'rolls/buns', 'whole milk'})",0.08587850030074183,0.013967787208447505,0.0013366303548753592,0.01556420233463035,1.1142926293448512,0.00013709773689400228,1.0016216548910237
frozenset({'white bread'}),frozenset({'brown bread'}),0.023992514870012697,0.03762614448974136,0.0010024727661565194,0.04178272980501393,1.1104706679794378,9.97269349851536e-05,1.0043378317679734
frozenset({'brown bread'}),frozenset({'white bread'}),0.03762614448974136,0.023992514870012697,0.0010024727661565194,0.026642984014209593,1.1104706679794378,9.97269349851536e-05,1.0027230184820854
frozenset({'beef'}),frozenset({'curd'}),0.03395041101383412,0.03368308494285905,0.0012697988371315912,0.03740157480314961,1.110396356705412,0.00012624425910763896,1.0038629710614062
frozenset({'curd'}),frozenset({'beef'}),0.03368308494285905,0.03395041101383412,0.0012697988371315912,0.037698412698412696,1.1103963567054118,0.00012624425910763896,1.0038948306165518
frozenset({'sausage'}),frozenset({'yogurt'}),0.06034886052262247,0.08587850030074183,0.005747510525964045,0.09523809523809523,1.1089864739670185,0.0005648408894225838,1.0103448154570749
frozenset({'yogurt'}),frozenset({'sausage'}),0.08587850030074183,0.06034886052262247,0.005747510525964045,0.0669260700389105,1.1089864739670185,0.0005648408894225838,1.007048969331468
"frozenset({'other vegetables', 'rolls/buns'})",frozenset({'soda'}),0.010559379803515338,0.09710619528169484,0.0011361358016440553,0.10759493670886075,1.108013102529032,0.00011075460439031039,1.0117533414573916
frozenset({'soda'}),"frozenset({'other vegetables', 'rolls/buns'})",0.09710619528169484,0.010559379803515338,0.0011361358016440553,0.011699931176875431,1.108013102529032,0.00011075460439031039,1.0011540537224877
frozenset({'frozen vegetables'}),frozenset({'bottled beer'}),0.028002405934638777,0.04531176903027468,0.001403461872619127,0.05011933174224343,1.1060996472849387,0.00013462332261678176,1.0050612280811932
frozenset({'bottled beer'}),frozenset({'frozen vegetables'}),0.04531176903027468,0.028002405934638777,0.001403461872619127,0.030973451327433624,1.1060996472849387,0.00013462332261678176,1.0030660103140259
frozenset({'frozen vegetables'}),frozenset({'root vegetables'}),0.028002405934638777,0.06957160997126245,0.002138608567800575,0.07637231503579953,1.0977511526231203,0.00019043610385892102,1.0073630372662559
frozenset({'root vegetables'}),frozenset({'frozen vegetables'}),0.06957160997126245,0.028002405934638777,0.002138608567800575,0.030739673390970224,1.0977511526231203,0.00019043610385892102,1.0028240787136184
frozenset({'rolls/buns'}),"frozenset({'yogurt', 'whole milk'})",0.11000467820624206,0.011160863463209249,0.0013366303548753592,0.012150668286755772,1.0886853267947703,0.0001088831611012215,1.0010019795446234
"frozenset({'yogurt', 'whole milk'})",frozenset({'rolls/buns'}),0.011160863463209249,0.11000467820624206,0.0013366303548753592,0.11976047904191618,1.0886853267947703,0.0001088831611012215,1.0110831206772626
frozenset({'fruit/vegetable juice'}),frozenset({'bottled beer'}),0.03401724253157789,0.04531176903027468,0.001670787943594199,0.049115913555992145,1.083954888699573,0.0001294065069565053,1.0040006395941945
frozenset({'bottled beer'}),frozenset({'fruit/vegetable juice'}),0.04531176903027468,0.03401724253157789,0.001670787943594199,0.03687315634218289,1.083954888699573,0.0001294065069565053,1.0029652520116237
"frozenset({'rolls/buns', 'yogurt'})",frozenset({'whole milk'}),0.007819287576020852,0.15792287642852368,0.0013366303548753592,0.17094017094017094,1.0824281751069733,0.00010178596924832772,1.0157012727614716
frozenset({'whole milk'}),"frozenset({'rolls/buns', 'yogurt'})",0.15792287642852368,0.007819287576020852,0.0013366303548753592,0.008463817181548879,1.082428175106973,0.00010178596924832772,1.000650031352054
frozenset({'frankfurter'}),frozenset({'brown bread'}),0.037759807525228894,0.03762614448974136,0.0015371249081066632,0.04070796460176992,1.0819063487322973,0.00011636893425757771,1.003212598456266
frozenset({'brown bread'}),frozenset({'frankfurter'}),0.03762614448974136,0.037759807525228894,0.0015371249081066632,0.04085257548845471,1.081906348732297,0.00011636893425757771,1.003224496969067
frozenset({'rolls/buns'}),frozenset({'chocolate'}),0.11000467820624206,0.02359152576355009,0.002806923745238254,0.02551640340218712,1.0815919096513482,0.00021174554522465769,1.0019752796715689
frozenset({'chocolate'}),frozenset({'rolls/buns'}),0.02359152576355009,0.11000467820624206,0.002806923745238254,0.11898016997167138,1.081591909651348,0.00021174554522465769,1.0101876160552943
frozenset({'hamburger meat'}),frozenset({'bottled beer'}),0.021853906302212123,0.04531176903027468,0.0010693042839002875,0.0489296636085627,1.0798444787240762,7.906512912518766e-05,1.0038040242028945
frozenset({'bottled beer'}),frozenset({'hamburger meat'}),0.04531176903027468,0.021853906302212123,0.0010693042839002875,0.02359882005899705,1.079844478724076,7.906512912518766e-05,1.001787086898943
frozenset({'frozen vegetables'}),frozenset({'citrus fruit'}),0.028002405934638777,0.05313105660629553,0.001603956425850431,0.05727923627684964,1.0780744810194982,0.00011615901102467229,1.0044002209669927
frozenset({'citrus fruit'}),frozenset({'frozen vegetables'}),0.05313105660629553,0.028002405934638777,0.001603956425850431,0.030188679245283016,1.0780744810194982,0.00011615901102467229,1.0022543285109755
frozenset({'shopping bags'}),frozenset({'dessert'}),0.04758404063356279,0.02359152576355009,0.0012029673193878234,0.025280898876404497,1.0716093197950156,8.038719884731244e-05,1.0017331897065596
frozenset({'dessert'}),frozenset({'shopping bags'}),0.02359152576355009,0.04758404063356279,0.0012029673193878234,0.0509915014164306,1.0716093197950156,8.038719884731244e-05,1.0035905482279175
frozenset({'shopping bags'}),frozenset({'cream cheese '}),0.04758404063356279,0.023658357281293858,0.0012029673193878234,0.025280898876404497,1.0685821748238433,7.720708519139033e-05,1.0016646248065113
frozenset({'cream cheese '}),frozenset({'shopping bags'}),0.023658357281293858,0.04758404063356279,0.0012029673193878234,0.05084745762711865,1.068582174823843,7.720708519139033e-05,1.0034382429039248
frozenset({'rolls/buns'}),"frozenset({'other vegetables', 'soda'})",0.11000467820624206,0.009690570072846355,0.0011361358016440553,0.010328068043742407,1.0657853940587423,7.012775914555232e-05,1.0006441508042325
"frozenset({'other vegetables', 'soda'})",frozenset({'rolls/buns'}),0.009690570072846355,0.11000467820624206,0.0011361358016440553,0.11724137931034483,1.0657853940587423,7.012775914555232e-05,1.0081978254694914
frozenset({'domestic eggs'}),frozenset({'newspapers'}),0.037091492347791216,0.038895943326872955,0.0015371249081066632,0.04144144144144145,1.0654437943097739,9.44163238378341e-05,1.0026555478450856
frozenset({'newspapers'}),frozenset({'domestic eggs'}),0.038895943326872955,0.037091492347791216,0.0015371249081066632,0.03951890034364261,1.0654437943097737,9.44163238378341e-05,1.002527283459008
frozenset({'grapes'}),frozenset({'root vegetables'}),0.01443560783265388,0.06957160997126245,0.0010693042839002875,0.07407407407407408,1.064716974419184,6.499580606879047e-05,1.0048626612310365
frozenset({'root vegetables'}),frozenset({'grapes'}),0.06957160997126245,0.01443560783265388,0.0010693042839002875,0.015369836695485112,1.064716974419184,6.499580606879047e-05,1.0009488119475194
frozenset({'beverages'}),frozenset({'bottled water'}),0.016574216400454454,0.06068301811134131,0.0010693042839002875,0.06451612903225808,1.0631661219269577,6.353080989021979e-05,1.0040974633982214
frozenset({'bottled water'}),frozenset({'beverages'}),0.06068301811134131,0.016574216400454454,0.0010693042839002875,0.01762114537444934,1.0631661219269577,6.353080989021979e-05,1.0010657079690441
frozenset({'pip fruit'}),frozenset({'berries'}),0.049054334023925686,0.021787074784468355,0.0011361358016440553,0.02316076294277929,1.0630506009595293,6.738535776249594e-05,1.0014062581704326
frozenset({'berries'}),frozenset({'pip fruit'}),0.021787074784468355,0.049054334023925686,0.0011361358016440553,0.05214723926380368,1.063050600959529,6.738535776249594e-05,1.0032630650750818
frozenset({'UHT-milk'}),frozenset({'tropical fruit'}),0.021386085678005748,0.0677671589921807,0.0015371249081066632,0.07187500000000001,1.0606169871794875,8.785063974484889e-05,1.0044259566414215
frozenset({'tropical fruit'}),frozenset({'UHT-milk'}),0.0677671589921807,0.021386085678005748,0.0015371249081066632,0.022682445759368838,1.0606169871794873,8.785063974484889e-05,1.0013264471468237
frozenset({'detergent'}),frozenset({'rolls/buns'}),0.008621265788946068,0.11000467820624206,0.0010024727661565194,0.11627906976744186,1.0570374975274803,5.4093197313023734e-05,1.0070999693981997
frozenset({'rolls/buns'}),frozenset({'detergent'}),0.11000467820624206,0.008621265788946068,0.0010024727661565194,0.00911300121506683,1.0570374975274803,5.4093197313023734e-05,1.0004962578242764
frozenset({'frankfurter'}),frozenset({'butter'}),0.037759807525228894,0.03522020985096572,0.001403461872619127,0.03716814159292035,1.0553072156638847,7.355352764849095e-05,1.002023127636405
frozenset({'butter'}),frozenset({'frankfurter'}),0.03522020985096572,0.037759807525228894,0.001403461872619127,0.039848197343453504,1.0553072156638847,7.355352764849095e-05,1.0021750621229335
frozenset({'hygiene articles'}),frozenset({'root vegetables'}),0.013700461137472432,0.06957160997126245,0.0010024727661565194,0.07317073170731708,1.0517326210726086,4.930962747384869e-05,1.0038832629257433
frozenset({'root vegetables'}),frozenset({'hygiene articles'}),0.06957160997126245,0.013700461137472432,0.0010024727661565194,0.01440922190201729,1.0517326210726083,4.930962747384869e-05,1.0007191227640264
frozenset({'curd'}),frozenset({'frankfurter'}),0.03368308494285905,0.037759807525228894,0.0013366303548753592,0.03968253968253969,1.0509200730439672,6.476355057706594e-05,1.0020021838993485
frozenset({'frankfurter'}),frozenset({'curd'}),0.037759807525228894,0.03368308494285905,0.0013366303548753592,0.03539823008849558,1.0509200730439672,6.476355057706594e-05,1.0017780862518983
frozenset({'other vegetables'}),frozenset({'pot plants'}),0.12210118291786407,0.007819287576020852,0.0010024727661565194,0.008210180623973728,1.0499908775770845,4.772850354941552e-05,1.000394128917555
frozenset({'pot plants'}),frozenset({'other vegetables'}),0.007819287576020852,0.12210118291786407,0.0010024727661565194,0.1282051282051282,1.0499908775770843,4.772850354941552e-05,1.007001584300097
